og:title,title,Product URL,ogUrl,og:url,msapplication-TileImage,article:modified_time,wwp,twitter:data1,og:description,favicon,og:site_name,language,og:locale,Description,twitter:label1,google-site-verification,ogLocale,Image URL,SKU,statusCode,color-scheme,sourceURL,ogImage,referrer,ogTitle,og:image,og:image:width,ogDescription,modifiedTime,twitter:card,og:image:type,og:image:height,Price,scrapeId,viewport,og:type,robots,Name,generator,ogSiteName,proxyUsed,url
12-24V add on external receiver - Australia's Top Rated Garage Door Parts Company,12-24V add on external receiver - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/12-24v-add-on-external-receiver/,https://ausgaragedoorparts.com.au/product/12-24v-add-on-external-receiver/,https://ausgaragedoorparts.com.au/product/12-24v-add-on-external-receiver/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-07-17T00:51:30+00:00,yes,,"Can wire in to almost all garage door and gate openers and allows the use of Jaytech, SEIP, Avanti, Superlift, Forza, BFT, Centsys, Mhouse, FAAC, SD800, IPR and ATA PTX4 remote controls. An easy and inexpensive solution to convert your garage door and gate or other device to use the same remote control to operate […]",https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$77.00

Can wire in to almost all garage door and gate openers and allows the use of Jaytech, SEIP, Avanti, Superlift, Forza, BFT, Centsys, Mhouse, FAAC, SD800, IPR and ATA PTX4 remote controls.

An easy and inexpensive solution to convert your garage door and gate or other device to use the same remote control to operate both or if your internal receiver has stopped functioning.

[![Jaytech external receiver ](https://www.ausgaragedoorparts.com.au/wp-content/uploads/2020/03/External-receiver-225x300.png)v](https://www.ausgaragedoorparts.com.au/wp-content/uploads/2020/03/External-receiver.png)

12-24V add on external receiver quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://www.ausgaragedoorparts.com.au/wp-content/uploads/2020/03/External-receiver-225x300.png,,200,light dark,https://ausgaragedoorparts.com.au/product/12-24v-add-on-external-receiver/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/External-receiver.png,"['origin', 'origin']",12-24V add on external receiver - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/External-receiver.png,1536,"Can wire in to almost all garage door and gate openers and allows the use of Jaytech, SEIP, Avanti, Superlift, Forza, BFT, Centsys, Mhouse, FAAC, SD800, IPR and ATA PTX4 remote controls. An easy and inexpensive solution to convert your garage door and gate or other device to use the same remote control to operate […]",2024-07-17T00:51:30+00:00,summary_large_image,image/png,2048,77.00,3ea46488-da92-40bc-a8e2-615ba017f7d3,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",12-24V add on external receiver,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/12-24v-add-on-external-receiver/
12-24V external receiver with 2 remotes - Australia's Top Rated Garage Door Parts Company,12-24V external receiver with 2 remotes - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/12-24v-external-receiver-with-2-remotes/,https://ausgaragedoorparts.com.au/product/12-24v-external-receiver-with-2-remotes/,https://ausgaragedoorparts.com.au/product/12-24v-external-receiver-with-2-remotes/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-07-17T00:51:30+00:00,yes,,"Can wire in to almost all garage door and gate openers and allows the use of Jaytech, SEIP, Avanti, Superlift, Forza, BFT, Centsys, Mhouse, FAAC, SD800, and ATA PTX4 remote controls. An easy and inexpensive solution to convert your garage door and gate or other device to use the same remote control to operate both […]",https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$154.00

Can wire in to almost all garage door and gate openers and allows the use of Jaytech, SEIP, Avanti, Superlift, Forza, BFT, Centsys, Mhouse, FAAC, SD800, and ATA PTX4 remote controls.

An easy and inexpensive solution to convert your garage door and gate or other device to use the same remote control to operate both or if your internal receiver has stopped functioning.

Comes with 2 x keyring remote controls

12-24V external receiver with 2 remotes quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/RX-2-x-TX-1.jpg,,200,,https://ausgaragedoorparts.com.au/product/12-24v-external-receiver-with-2-remotes/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/RX-2-x-TX-1.jpg,"['origin', 'origin']",12-24V external receiver with 2 remotes - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/RX-2-x-TX-1.jpg,368,"Can wire in to almost all garage door and gate openers and allows the use of Jaytech, SEIP, Avanti, Superlift, Forza, BFT, Centsys, Mhouse, FAAC, SD800, and ATA PTX4 remote controls. An easy and inexpensive solution to convert your garage door and gate or other device to use the same remote control to operate both […]",2024-07-17T00:51:30+00:00,summary_large_image,image/jpeg,300,154.00,45cd2242-66da-4821-81eb-03c1e1e7234f,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",12-24V external receiver with 2 remotes,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/12-24v-external-receiver-with-2-remotes/
150T Replacement Arm - Australia's Top Rated Garage Door Parts Company,150T Replacement Arm - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/150t-replacement-arm/,https://ausgaragedoorparts.com.au/product/150t-replacement-arm/,https://ausgaragedoorparts.com.au/product/150t-replacement-arm/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-05-27T03:35:56+00:00,yes,,These arms are a replacement for B&D 150T Tilt-A-Door Arms and are used on single width doors that usually have 1 springs per side. The measurement from the main pivot point bolt at the top of the arm to the bottom pivot point bolt where it attaches to the door should measure 875mm This Product […],https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$307.00

These arms are a replacement for B&D 150T Tilt-A-Door Arms and are used on single width doors that usually have 1 springs per side.

The measurement from the main pivot point bolt at the top of the arm to the bottom pivot point bolt where it attaches to the door should measure 875mm

**This Product Is Local Pick Up Only**

150T Replacement Arm quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/250T-Tilt-Arm.jpg,,200,,https://ausgaragedoorparts.com.au/product/150t-replacement-arm/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/250T-Tilt-Arm.jpg,"['origin', 'origin']",150T Replacement Arm - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/250T-Tilt-Arm.jpg,459,These arms are a replacement for B&D 150T Tilt-A-Door Arms and are used on single width doors that usually have 1 springs per side. The measurement from the main pivot point bolt at the top of the arm to the bottom pivot point bolt where it attaches to the door should measure 875mm This Product […],2024-05-27T03:35:56+00:00,summary_large_image,image/jpeg,491,307.00,19aa33fb-6e7a-4f55-b7d5-1dd6dde60623,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",150T Replacement Arm,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/150t-replacement-arm/
150T Single Wheel Assembly - Right Hand - Australia's Top Rated Garage Door Parts Company,150T Single Wheel Assembly - Right Hand - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/150t-single-wheel-assembly-right-hand/,https://ausgaragedoorparts.com.au/product/150t-single-wheel-assembly-right-hand/,https://ausgaragedoorparts.com.au/product/150t-single-wheel-assembly-right-hand/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-10-29T03:52:16+00:00,yes,,Single Wheel Assembly with weatherstrip as used on B&D 150T Tilt Fittings This is the right-hand version. Doors are always viewed from the inside looking out. This Product Is Local Pick Up Only,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$108.00

Single Wheel Assembly with weatherstrip as used on B&D 150T Tilt Fittings

This is the right-hand version.

Doors are always viewed from the inside looking out.

**This Product Is Local Pick Up Only**

150T Single Wheel Assembly - Right Hand quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/150T-Single-Wheel-Assy.jpg,,200,,https://ausgaragedoorparts.com.au/product/150t-single-wheel-assembly-right-hand/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/150T-Single-Wheel-Assy.jpg,"['origin', 'origin']",150T Single Wheel Assembly - Right Hand - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/150T-Single-Wheel-Assy.jpg,403,Single Wheel Assembly with weatherstrip as used on B&D 150T Tilt Fittings This is the right-hand version. Doors are always viewed from the inside looking out. This Product Is Local Pick Up Only,2024-10-29T03:52:16+00:00,summary_large_image,image/jpeg,381,108.00,f9ce98a3-a563-4888-bf7c-8313d97af25a,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",150T Single Wheel Assembly – Right Hand,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/150t-single-wheel-assembly-right-hand/
"75mm Sheave Pulley (3"") - Steel - Australia's Top Rated Garage Door Parts Company","75mm Sheave Pulley (3"") - Steel - Australia's Top Rated Garage Door Parts Company",https://ausgaragedoorparts.com.au/product/75mm-sheave-pulley-3-steel/,https://ausgaragedoorparts.com.au/product/75mm-sheave-pulley-3-steel/,https://ausgaragedoorparts.com.au/product/75mm-sheave-pulley-3-steel/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-07-17T00:56:05+00:00,yes,,Steel pulley wheel used on rear sprung sectional doors to run cable through,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$39.00

Steel pulley wheel used on rear sprung sectional doors to run cable through

75mm Sheave Pulley (3"") - Steel quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/3-Pulley-300x300-1.jpg,,200,,https://ausgaragedoorparts.com.au/product/75mm-sheave-pulley-3-steel/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/3-Pulley-300x300-1.jpg,"['origin', 'origin']","75mm Sheave Pulley (3"") - Steel - Australia's Top Rated Garage Door Parts Company",https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/3-Pulley-300x300-1.jpg,300,Steel pulley wheel used on rear sprung sectional doors to run cable through,2024-07-17T00:56:05+00:00,summary_large_image,image/jpeg,300,39.00,009be384-e203-4058-9002-1f96b1507660,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",75mm Sheave Pulley (3″) – Steel,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/75mm-sheave-pulley-3-steel/
90mm Sheave Pulley - Nylon - Australia's Top Rated Garage Door Parts Company,90mm Sheave Pulley - Nylon - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/90mm-sheave-pulley-nylon/,https://ausgaragedoorparts.com.au/product/90mm-sheave-pulley-nylon/,https://ausgaragedoorparts.com.au/product/90mm-sheave-pulley-nylon/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-07-17T00:49:38+00:00,yes,,"B&D nylon pulley wheel used on rear sprung sectional doors to run cable through, comes with bearings and is generally less abrasive on the cable",https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$39.00

B&D nylon pulley wheel used on rear sprung sectional doors to run cable through, comes with bearings and is generally less abrasive on the cable

90mm Sheave Pulley - Nylon quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/90mm-Sheave-Pulley-Nylon-2.jpg,,200,,https://ausgaragedoorparts.com.au/product/90mm-sheave-pulley-nylon/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/90mm-Sheave-Pulley-Nylon-2.jpg,"['origin', 'origin']",90mm Sheave Pulley - Nylon - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/90mm-Sheave-Pulley-Nylon-2.jpg,450,"B&D nylon pulley wheel used on rear sprung sectional doors to run cable through, comes with bearings and is generally less abrasive on the cable",2024-07-17T00:49:38+00:00,summary_large_image,image/jpeg,397,39.00,f25e2014-7fef-41a6-a02e-1fd6f6653353,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",90mm Sheave Pulley – Nylon,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/90mm-sheave-pulley-nylon/
Adjustable Steel Hinge - Inward Facing Knuckle - Australia's Top Rated Garage Door Parts Company,Adjustable Steel Hinge - Inward Facing Knuckle - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/adjustable-steel-hinge-outward-facing-knuckle/,https://ausgaragedoorparts.com.au/product/adjustable-steel-hinge-outward-facing-knuckle/,https://ausgaragedoorparts.com.au/product/adjustable-steel-hinge-outward-facing-knuckle/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-11-27T02:46:41+00:00,yes,1 minute,"Steel garage door hinge that suits fingersafe sectional garage doors manufactured by Steel-Line & Windsor. There are two similar versions of this hinge, this one has an inward facing knuckle the other has an outward facing knuckle. The hinges are multi fit and can be used to house the rollers and join any of the […]",https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$15.00

Steel garage door hinge that suits fingersafe sectional garage doors manufactured by Steel-Line & Windsor.

There are two similar versions of this hinge, this one has an inward facing knuckle the other has an outward facing knuckle.

The hinges are multi fit and can be used to house the rollers and join any of the panels from bottom to top. They have a slide mechanism to allow for adjustment and are made from thick steel.

Dimensions: 150mm long x 70mm wide

Not the hinge you’re looking for ? Aus Garage Door Parts stock a complete range of garage door hinges. Call us or see us in store.\[/vc\_column\_text\]\[/vc\_column\]\[/vc\_row\]

Adjustable Steel Hinge - Inward Facing Knuckle quantity",Est. reading time,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/Steel-Line-Windsor-Adjustable-Hinge-2.jpg,,200,,https://ausgaragedoorparts.com.au/product/adjustable-steel-hinge-outward-facing-knuckle/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/Steel-Line-Windsor-Adjustable-Hinge-2.jpg,"['origin', 'origin']",Adjustable Steel Hinge - Inward Facing Knuckle - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/Steel-Line-Windsor-Adjustable-Hinge-2.jpg,390,"Steel garage door hinge that suits fingersafe sectional garage doors manufactured by Steel-Line & Windsor. There are two similar versions of this hinge, this one has an inward facing knuckle the other has an outward facing knuckle. The hinges are multi fit and can be used to house the rollers and join any of the […]",2024-11-27T02:46:41+00:00,summary_large_image,image/jpeg,285,15.00,826e5b36-84f8-4dc0-a53f-b7409c487827,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Adjustable Steel Hinge – Inward Facing Knuckle,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/adjustable-steel-hinge-outward-facing-knuckle/
AGDP Nylon Bottom Rail - 5500mm - Australia's Top Rated Garage Door Parts Company,AGDP Nylon Bottom Rail - 5500mm - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/agdp-nylon-bottom-rail-5500mm/,https://ausgaragedoorparts.com.au/product/agdp-nylon-bottom-rail-5500mm/,https://ausgaragedoorparts.com.au/product/agdp-nylon-bottom-rail-5500mm/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-05-27T03:35:33+00:00,yes,,This nylon rail can attach to a variety of doors and is used in conjunction with the AGDP Weatherseal It is normally used to replace damaged bottom rails – It does not include the seal which is sold separately. Please Note The rail is 40mm wide and 5500mm long so it is for local pick-up […],https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$55.00

This nylon rail can attach to a variety of doors and is used in conjunction with the AGDP Weatherseal

It is normally used to replace damaged bottom rails – It does not include the seal which is sold separately.

**Please Note**

The rail is 40mm wide and 5500mm long so it is for local pick-up only.

AGDP Nylon Bottom Rail - 5500mm quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/AGDP-Weatherseal-Rail.jpg,,200,,https://ausgaragedoorparts.com.au/product/agdp-nylon-bottom-rail-5500mm/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/AGDP-Weatherseal-Rail.jpg,"['origin', 'origin']",AGDP Nylon Bottom Rail - 5500mm - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/AGDP-Weatherseal-Rail.jpg,393,This nylon rail can attach to a variety of doors and is used in conjunction with the AGDP Weatherseal It is normally used to replace damaged bottom rails – It does not include the seal which is sold separately. Please Note The rail is 40mm wide and 5500mm long so it is for local pick-up […],2024-05-27T03:35:33+00:00,summary_large_image,image/jpeg,270,55.00,d3984b5a-9d35-4ddb-8f60-187059e6d02a,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",AGDP Nylon Bottom Rail – 5500mm,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/agdp-nylon-bottom-rail-5500mm/
Angle - Plain 40mm x 40mm x 2000mm - Australia's Top Rated Garage Door Parts Company,Angle - Plain 40mm x 40mm x 2000mm - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/angle-plain-40mm-x-40mm-x-2000mm/,https://ausgaragedoorparts.com.au/product/angle-plain-40mm-x-40mm-x-2000mm/,https://ausgaragedoorparts.com.au/product/angle-plain-40mm-x-40mm-x-2000mm/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2024-05-27T03:34:20+00:00,yes,,1.6mm thick galvanized steel angle 40mm x 40mm x 2000mm long Due to the bulky nature of this product Local Pickup in store is the only shipping option.,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$25.00

1.6mm thick galvanized steel angle

40mm x 40mm x 2000mm long

**Due to the bulky nature of this product Local Pickup in store is the only shipping option.**

Angle - Plain 40mm x 40mm x 2000mm quantity",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/Angle-Plain.jpg,,200,,https://ausgaragedoorparts.com.au/product/angle-plain-40mm-x-40mm-x-2000mm/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/Angle-Plain.jpg,"['origin', 'origin']",Angle - Plain 40mm x 40mm x 2000mm - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/Angle-Plain.jpg,440,1.6mm thick galvanized steel angle 40mm x 40mm x 2000mm long Due to the bulky nature of this product Local Pickup in store is the only shipping option.,2024-05-27T03:34:20+00:00,summary_large_image,image/jpeg,364,25.00,0daae442-ec60-439a-9c4d-74588304d503,"['width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0', 'width=device-width,initial-scale=1', 'width=device-width, initial-scale=1', 'initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no']",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Angle – Plain 40mm x 40mm x 2000mm,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/angle-plain-40mm-x-40mm-x-2000mm/
ATA/B&D Belt Joiner with Sleeves - USED PART - Australia's Top Rated Garage Door Parts Company,ATA/B&D Belt Joiner with Sleeves - USED PART - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/product/ata-bd-belt-joiner-with-sleeves-used-part/,https://ausgaragedoorparts.com.au/product/ata-bd-belt-joiner-with-sleeves-used-part/,https://ausgaragedoorparts.com.au/product/ata-bd-belt-joiner-with-sleeves-used-part/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-270x270.png,2025-01-28T07:14:41+00:00,yes,,"Joins the drive belt and engages with the trolley to lift the door on the below ATA & B&D sectional/tilt door operators Compatible with: ATA models – GDO-7v3, GDO-11 Ero, GDO-9 Dynamo, GDO-9 Enduro, ATS-2 Tempo, ATS-3 Syncro B&D models – SDO-2 CAD Advance, SDO-3 CAD S, SDO-4 Panel Pro, SDO-6 CAD Secure, SDO-7 CAD […]",https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/cropped-Garage-doors-icon-32x32.png,Australia's Top Rated Garage Door Parts Company,en-AU,en_US,"$40.00

Joins the drive belt and engages with the trolley to lift the door on the below ATA & B&D sectional/tilt door operators

**Compatible with:**

ATA models – GDO-7v3, GDO-11 Ero, GDO-9 Dynamo, GDO-9 Enduro, ATS-2 Tempo, ATS-3 Syncro

B&D models – SDO-2 CAD Advance, SDO-3 CAD S, SDO-4 Panel Pro, SDO-6 CAD Secure, SDO-7 CAD Smart, SDO-8 Panelmax

**These are no longer manufactured so are only available as a used part.**

**All used parts are checked for quality and only sold if they are in good** **condition.**

Out of stock

[iframe](https://js.stripe.com/v3/controller-with-preconnect-81fd2a137301a36dd083e52d68a8c6ad.html#__shared_params__[version]=v3&apiKey=pk_live_51ETDmyFuiXB5oUVxaIafkGPnwuNcBxr1pXVhvLJ4BrWuiqfG6SldjatOGLQhuqXnDmgqwRA7tDoSFlbY4wFji7KR0079TvtxNs&stripeAccount=acct_1PVXcg2HzKyx9F76&stripeJsId=06db788d-0fe8-4fc7-b818-0e00f81f98f4&firstStripeInstanceCreatedLatency=258&locale=en&controllerCount=1&isCheckout=false&betas[0]=card_country_event_beta_1&stripeJsLoadTime=1748389688573&manualBrowserDeprecationRollout=false&mids[guid]=NA&mids[muid]=NA&mids[sid]=NA&referrer=https%3A%2F%2Fausgaragedoorparts.com.au%2Fproduct%2Fata-bd-belt-joiner-with-sleeves-used-part%2F&controllerId=__privateStripeController9961)

[iframe](about:blank)[iframe](https://c.paypal.com/v1/r/d/i?js_src=https://c.paypal.com/da/r/fb.js)[iframe](https://js.stripe.com/v3/hcaptcha-invisible-14644855fbd7f464c604d40071f35141.html#debugMode=false&parentOrigin=https%3A%2F%2Fausgaragedoorparts.com.au)",,6VYGh13YU-6v5hprJxBb-ZQMzuWfZP4f-L4PteSsjgE,en_US,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/ATA-BD-Belt-Joiner.jpg,,200,,https://ausgaragedoorparts.com.au/product/ata-bd-belt-joiner-with-sleeves-used-part/,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/ATA-BD-Belt-Joiner.jpg,,ATA/B&D Belt Joiner with Sleeves - USED PART - Australia's Top Rated Garage Door Parts Company,https://ausgaragedoorparts.com.au/wp-content/uploads/2024/05/ATA-BD-Belt-Joiner.jpg,393,"Joins the drive belt and engages with the trolley to lift the door on the below ATA & B&D sectional/tilt door operators Compatible with: ATA models – GDO-7v3, GDO-11 Ero, GDO-9 Dynamo, GDO-9 Enduro, ATS-2 Tempo, ATS-3 Syncro B&D models – SDO-2 CAD Advance, SDO-3 CAD S, SDO-4 Panel Pro, SDO-6 CAD Secure, SDO-7 CAD […]",2025-01-28T07:14:41+00:00,summary_large_image,image/jpeg,270,40.00,8e527cde-beca-4874-8983-a5ca9393e4b5,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",article,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",ATA/B&D Belt Joiner with Sleeves – USED PART,Divi v.4.22.2,Australia's Top Rated Garage Door Parts Company,basic,https://ausgaragedoorparts.com.au/product/ata-bd-belt-joiner-with-sleeves-used-part/
